#name,airport,city,country,description,type,latitude,longitude
Pashan Garh A Taj Safari,HJR,Khajuraho,IN,,Luxury hotel,24.85,79.9167
The Art Basel Fair,HKG,,HK,Leading art fair held showcasing contemporary and modern artworks,Elite Destination,,
Mount Nicholson Road,HKG,Hong Kong,HK,,Elite residential,,
Repulse Bay,HKG,Hong Kong,HK,,Elite residential,,
The Peak,HKG,Hong Kong,HK,,Elite residential,,
Four Seasons HONG KONG,HKG,Hong Kong,HK,Four Seasons,Luxury hotel,,
JW Marriott Hotel Hong Kong,HKG,Hong Kong,HK,JW Marriott,Luxury hotel,,
Mandarin Oriental Hong Kong,HKG,Hong Kong,HK,Mandarin Oriental,Luxury hotel,,
The Ritz-Carlton Hong Kong,HKG,Hong Kong,HK,Ritz-Carlton,Luxury hotel,,
Rosewood Hong Kong,HKG,Hong Kong,HK,Rosewood Hotel,Luxury hotel,,
The St. Regis Hong Kong,HKG,Hong Kong,HK,St. Regis,Luxury hotel,,
The Peninsula Hong Kong,HKG,Hong Kong,HK,The Peninsula,Luxury hotel,,
Conrad Hong Kong,HKG,Hong Kong,HK,,Luxury hotel,,
Amanpuri,HKT,,TH,Aman resorts,Luxury hotel,,
COMO Point Yamu,HKT,,TH,COMO,Luxury hotel,,
JW Marriott Khao Lak Resort & Spa,HKT,,TH,JW Marriott,Luxury hotel,,
JW Marriott Phuket Resort & Spa,HKT,,TH,JW Marriott,Luxury hotel,,
The Naka Island,HKT,,TH,Luxury Collection Hotels,Luxury hotel,,
Rosewood Phuket,HKT,,TH,Rosewood Hotel,Luxury hotel,,
Banyan Tree Phuket,HKT,Phuket,TH,,Luxury hotel,,
Banyan Tree Veya Phuket,HKT,Phuket,TH,,Luxury hotel,,
National Diet Building,HND,Tokyo,JP,,Elite Destination,,
Ginza,HND,Tokyo,JP,,Elite residential,,
Bulgari Hotel,HND,Tokyo,JP,Bulgari Hotel,Luxury hotel,,
Four Seasons TOKYO AT MARUNOUCHI,HND,Tokyo,JP,Four Seasons,Luxury hotel,,
Four Seasons TOKYO AT OTEMACHI,HND,Tokyo,JP,Four Seasons,Luxury hotel,,
HOSHINOYA Fuji,HND,Tokyo,JP,HOSHINOYA,Luxury hotel,,
HOSHINOYA Tokyo,HND,Tokyo,JP,HOSHINOYA,Luxury hotel,,
Fuji Speedway Hotel,HND,,JP,Hyatt Unbound,Luxury hotel,,
Shangri-La Hotel Tokyo,HND,Tokyo,JP,,Luxury hotel,35.5523,139.7798
The Peninsula Tokyo,HND,,JP,,Luxury hotel,,
Waldorf Astoria Tokyo Nihonbashi,HND,Tokyo,JP,,Luxury hotel,,
Conrad Tokyo,HND,Tokyo,JP,,Luxury hotel,,
Andaz Tokyo Toranomon Hills,HND,Tokyo,JP,,Luxury hotel,,
Grand Hyatt Tokyo,HND,Tokyo,JP,,Luxury hotel,,
Park Hyatt Tokyo,HND,Tokyo,JP,,Luxury hotel,,
Palace Hotel,HND,,JP,,Luxury hotel,,
Giant Wave Surfing,HNL,,US,Luxurious beachfront estates set the scene for world-class surfing and private helicopter tours.,Adventure Tourism,,
Four Seasons HAWAII,HNL,,US,Four Seasons,Luxury hotel,,
The Royal Hawaiian,HNL,,US,Luxury Collection Hotels,Luxury hotel,,
The Ritz-Carlton Residences Waikiki Beach,HNL,,US,Ritz-Carlton,Luxury hotel,,
Halekulani,HNL,,US,,Luxury hotel,,
The Kahala Hotel & Resort,HNL,,US,,Luxury hotel,,
River Oaks,HOU,Houston,US,,Elite residential,,
Ha Long Bay,HPH,,VN,Cruise through mystical limestone formations with luxurious junks offering private balconies and gourmet meals.,Adventure Tourism,,
Scarsdale,HPN,,US,,Elite residential,,
Darien,HPN,,US,,Elite residential,,
JW Marriott Hotel Harbin River North,HRB,,CN,JW Marriott,Luxury hotel,,
The Ritz-Carlton Harbin,HRB,,CN,Ritz-Carlton,Luxury hotel,,
Shangri-La Harbin,HRB,Harbin,CN,,Luxury hotel,45.756389,126.647222
Shangri-La Songbei,HRB,Harbin,CN,,Luxury hotel,45.8,126.53
Shangri-La Harbin,HRB,Harbin,CN,,Luxury hotel,45.8,126.53
The St. Regis Almasa Hotel,HRG,,EG,St. Regis,Luxury hotel,,
The Oberoi Beach Resort,HRG,,EG,The Oberoi,Luxury hotel,,
Rosewood Tangalle,HRI,,LK,Rosewood Hotel,Luxury hotel,,
Shangri-La Hambantota Golf Resort & Spa,HRI,Hambantota,LK,,Luxury hotel,6.1241,81.1181
Shangri-La Zhoushan,HSN,Zhoushan,CN,,Luxury hotel,29.95,122.2
Hamilton Island,HTI,,AU,,Elite residential,,
InterContinental Hayman Island Resort,HTI,,AU,IHG Hotel,Luxury hotel,,
Montauk,HTO,,US,,Elite residential,,
Southampton ,HTO,,US,,Elite residential,,
The Pridwin,HTO,Shelter Island,US,,Luxury hotel,,
Banyan Tree Lăng Cô,HUI,Hue,VN,,Luxury hotel,,
Fraser Island,HVB,,AU,Explore the world's largest sand island with exclusive wilderness resorts and private 4x4 tours.,Adventure Tourism,,
The Golden Triangle,HVN,,US,,Elite residential,,
Yale University,HVN,,US,,University,,
Red Jacket Beach Resort,HYA,,US,,Luxury hotel,,
Park Hyatt Hyderabad,HYD,Hyderabad,IN,,Luxury hotel,,
Taj Falaknuma Palace,HYD,Hyderabad,IN,,Luxury hotel,17.3555,78.4687
Wolf Trap National Park for the Performing Arts,IAD,,US,,Elite Destination,,
The Jefferson,IAD,,US,MICHELIN Two Key Hotel,Luxury hotel,,
The Ritz-Carlton Pentagon City,IAD,Washington D.C.,US,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Tysons Corner,IAD,Washington D.C.,US,Ritz-Carlton,Luxury hotel,,
Conrad Washington,IAD,Washington,US,,Luxury hotel,,
Grand Hyatt,IAD,,US,,Luxury hotel,,
Four Seasons HOUSTON,IAH,Houston,US,Four Seasons,Luxury hotel,,
JW Marriott Houston Downtown,IAH,Houston,US,JW Marriott,Luxury hotel,,
The St. Regis Houston,IAH,Houston,US,St. Regis,Luxury hotel,,
THOMPSON HOUSTON,IAH,,US,,Luxury hotel,,
Ibiza,IBZ,,ES,Exclusive Mediterranean island known for its upscale beach clubs,Elite residential,,
Six Senses Ibiza,IBZ,,ES,Six Senses Resorts,Luxury hotel,,
Cala San Miguel Ibiza Resort,IBZ,,ES,Curio Collection,Luxury hotel,,
Mondrian Ibiza,IBZ,,ES,,Luxury hotel,,
Montesol Experimental,IBZ,,ES,,Luxury hotel,,
Bless Hotel Ibiza,IBZ,,ES,,Luxury hotel,,
Nobu Hotel Ibiza Bay,IBZ,,ES,Nobu,Luxury hotel,,
Gangnam,ICN,Seoul,KR,,Elite residential,,
Pyeongchang-dong,ICN,Seoul,KR,,Elite residential,,
Four Seasons SEOUL,ICN,Seoul,KR,Four Seasons,Luxury hotel,,
JW Marriott Dongdaemun Square Seoul,ICN,Seoul,KR,JW Marriott,Luxury hotel,,
JW Marriott Hotel Seoul,ICN,Seoul,KR,JW Marriott,Luxury hotel,,
Josun Palace,ICN,Seoul,KR,Luxury Collection Hotels,Luxury hotel,,
Conrad Seoul,ICN,Seoul,KR,,Luxury hotel,,
Park Hyatt Seoul,ICN,,KR,,Luxury hotel,,
Andaz Seoul Gangnam,ICN,Seoul,KR,,Luxury hotel,,
SIGNIEL Seoul,ICN,,KR,,Luxury hotel,,
Fairmont Grand Hotel Kyiv,IEV,Kyiv,UA,,Luxury hotel,50.4501,30.5234
Hotel das Cataratas,IGU,,BR,,Luxury hotel,,
Belmond Hotel das Cataratas,IGU,Foz do Iguaçu,BR,,Luxury hotel,,
Elahieh,IKA,Tehran,IR,,Elite residential,,
JW Marriott Hotel Yinchuan,INC,,CN,JW Marriott,Luxury hotel,,
JW Marriott Indianapolis,IND,,US,JW Marriott,Luxury hotel,,
Conrad Indianapolis,IND,Indianapolis,US,,Luxury hotel,,
Lech am Arlberg,INN,,AT,,Luxury hotel,,
Schloss Elmau Luxury Spa Retreat & Cultural Hideaway,INN,,AT,,Luxury hotel,,
The Scottish Highlands,INV,,GB,Dramatic landscapes with exclusive hunting lodges and luxury castles offering a unique and historic getaway.,Elite residential,,
Isle of Man,IOM,,IM,Tranquil island escape with exclusive heritage sites,Elite residential,,
Easter Island,IPC,,CL,,Adventure Tourism,,
Nayara Hangaroa,IPC,,CL,,Luxury hotel,,
Peruvian Amazon Tours,IQT,,PE,,Adventure Tourism,,
Ishigaki Island,ISG,,JP,Remote island paradise offering exclusive diving spots,Adventure Tourism,,
HOSHINOYA Taketomi Island,ISG,,JP,HOSHINOYA,Luxury hotel,,
Brookhaven,ISP,,US,,Elite residential,,
Four Seasons ISTANBUL AT SULTANAHMET,IST,Istanbul,TR,Four Seasons,Luxury hotel,,
Four Seasons ISTANBUL AT THE BOSPHORUS,IST,Istanbul,TR,Four Seasons,Luxury hotel,,
JW Marriott Hotel Istanbul Marmara Sea,IST,Istanbul,TR,JW Marriott,Luxury hotel,,
JW Marriott Istanbul Bosphorus,IST,Istanbul,TR,JW Marriott,Luxury hotel,,
Sanasaryan Han,IST,Istanbul,TR,Luxury Collection Hotels,Luxury hotel,,
Mandarin Oriental Istanbul,IST,Istanbul,TR,Mandarin Oriental,Luxury hotel,,
The Ritz-Carlton Istanbul,IST,Istanbul,TR,Ritz-Carlton,Luxury hotel,,
The St. Regis Istanbul,IST,Istanbul,TR,St. Regis,Luxury hotel,,
The Peninsula Istanbul,IST,Istanbul,TR,The Peninsula,Luxury hotel,,
The Peninsula Istanbul,IST,,TR,,Luxury hotel,,
Conrad Istanbul Bosphorus,IST,Istanbul,TR,,Luxury hotel,,
Raffles Istanbul,IST,Istanbul,TR,,Luxury hotel,,
Çirağan Palace Kempinski,IST,,TR,,Luxury hotel,,
The Lake House on Canandaigua,ITH,,US,,Luxury hotel,,
Cornell University,ITH,,US,,University,,
JW Marriott Hotel Nara,ITM,Osaka,JP,JW Marriott,Luxury hotel,,
The Ritz-Carlton Osaka,ITM,Osaka,JP,Ritz-Carlton,Luxury hotel,,
Big Island,ITO,,US,,Elite residential,,
JW Marriott Hotel Chandigarh,IXC,,IN,JW Marriott,Luxury hotel,,
The Oberoi Sukhvilas Spa Resort,IXC,,IN,The Oberoi,Luxury hotel,,
Taj Exotica Resort & Spa Andamans,IXZ,Port Blair,IN,,Luxury hotel,11.6709,92.7182
Four Seasons JACKSON HOLE,JAC,,US,Four Seasons,Luxury hotel,,
Rosewood Jackson Hole,JAC,,US,Rosewood Hotel,Luxury hotel,,
Jackson Hole,JAC,,US,,Ski Resort,,
Rosewood Sawai Madhopur,JAI,,IN,Rosewood Hotel,Luxury hotel,,
The Oberoi Rajvilas,JAI,,IN,The Oberoi,Luxury hotel,,
The Oberoi Vanyavilas Wildlife Resort,JAI,,IN,The Oberoi,Luxury hotel,,
Waldorf Astoria Jaipur,JAI,Jaipur,IN,,Luxury hotel,,
Alila Fort Bishangarh,JAI,Jaipur,IN,,Luxury hotel,,
Raffles Jaipur,JAI,Jaipur,IN,,Luxury hotel,,
Rambagh Palace,JAI,Jaipur,IN,,Luxury hotel,26.9079,75.8106
The Ritz-Carlton Amelia Island,JAX,,US,Ritz-Carlton,Luxury hotel,,
Umaid Bhawan Palace,JDH,Jodhpur,IN,,Luxury hotel,26.2714,73.0236
Saudi Arabian GP,JED,,SA,Formula One race held at the Jeddah Corniche Circuit,Elite Destination,21.63194,39.10444
Assila,JED,,SA,Luxury Collection Hotels,Luxury hotel,,
The Ritz-Carlton Jeddah,JED,,SA,Ritz-Carlton,Luxury hotel,,
Rosewood Jeddah,JED,,SA,Rosewood Hotel,Luxury hotel,,
Six Senses SAUDI ARABIA,JED,,SA,Six Senses Resorts,Luxury hotel,,
The St. Regis Red Sea Resort,JED,,SA,St. Regis,Luxury hotel,,
Waldorf Astoria Jeddah - Qasr Al Sharq,JED,Jeddah,SA,,Luxury hotel,,
Conrad Makkah,JED,Jeddah,SA,,Luxury hotel,,
Raffles Makkah Palace,JED,Jeddah,SA,,Luxury hotel,,
Raffles Jeddah,JED,Jeddah,SA,,Luxury hotel,,
Met Gala,JFK,,US,Ultra-exclusive fashion event at the Metropolitan Museum of Art known for extravagant themes and celebrity attendees.,Elite Destination,,
United Nations,JFK,New York,US,,Elite Destination,,
Williamsburg,JFK,New York,US,,Elite residential,,
Aman New York,JFK,,US,Aman resorts,Luxury hotel,,
Four Seasons NEW YORK DOWNTOWN,JFK,New York,US,Four Seasons,Luxury hotel,,
JW Marriott Essex House New York,JFK,New York,US,JW Marriott,Luxury hotel,,
Mandarin Oriental New York,JFK,New York,US,Mandarin Oriental,Luxury hotel,,
Casa Cipriani,JFK,,US,MICHELIN Three Key Hotel,Luxury hotel,,
Crosby Street Hotel,JFK,,US,MICHELIN Three Key Hotel,Luxury hotel,,
The Whitby Hotel,JFK,,US,MICHELIN Three Key Hotel,Luxury hotel,,
Rosewood New York City,JFK,New York,US,Rosewood Hotel,Luxury hotel,,
The St. Regis New York,JFK,New York,US,St. Regis,Luxury hotel,,
Broadway,JFK,,US,,Luxury hotel,,
The Peninsula New York,JFK,,US,,Luxury hotel,,
The Plaza,JFK,New York,US,,Luxury hotel,,
Columbia University,JFK,New York,US,,University,,
Mogao Caves,JGN,,CN,A UNESCO World Heritage site in Gansu Province,Adventure Tourism,,
Danga Bay,JHB,,MY,Newly developed waterfront area featuring luxury condominiums,Elite residential,,
Shangri-La Qufu,JJN,Qufu,CN,,Luxury hotel,35.6039,116.9714
Banjaar Tola A Taj Safari,JLR,Jabalpur,IN,,Luxury hotel,23.15,80.05
Agios Ioannis,JMK,Mykonos,GR,,Elite residential,,
Mykonos Town,JMK,Mykonos,GR,,Elite residential,,
Santa Marina,JMK,,GR,Luxury Collection Hotels,Luxury hotel,,
Royal Myconian Resort,JMK,,GR,,Luxury hotel,,
Bill & Coo,JMK,,GR,,Luxury hotel,,
Sandton ,JNB,Johannesburg,ZA,,Elite residential,,
Sandhurst,JNB,,ZA,,Elite residential,,
Four Seasons JOHANNESBURG,JNB,,ZA,Four Seasons,Luxury hotel,,
Saxon Hotel Villas & Spa,JNB,,ZA,,Luxury hotel,,
Shambala Private Game Reserve,JNB,,ZA,,Luxury hotel,,
JW Marriott Hotel Qufu,JNG,,CN,JW Marriott,Luxury hotel,,
Broadway,JRA,,US,,Elite Destination,,
Midtown,JRA,,US,,Elite residential,,
Wall Street,JRB,,US,,Elite residential,,
Wall Street,JRB,,US,,Elite residential,,
Ngorongoro Lodge,JRO,,TZ,,Luxury hotel,,
Melia Serengeti Lodge,JRO,,TZ,,Luxury hotel,,
Santorini,JTR,,GR,Iconic Greek island renowned for its stunning sunsets,Elite residential,,
Santorini,JTR,,GR,,Elite residential,,
Grace Hotel,JTR,,GR,Auberge Resorts,Luxury hotel,,
Magma Resort Santorini,JTR,,GR,Hyatt Unbound,Luxury hotel,,
Mystique,JTR,,GR,Luxury Collection Hotels,Luxury hotel,,
Vedema,JTR,,GR,Luxury Collection Hotels,Luxury hotel,,
Nobu Hotel Santorini,JTR,,GR,,Luxury hotel,,
Jiuzhaigou,JZH,,CN,A stunning national park in Sichuan Province,Adventure Tourism,,
Rissai Valley,JZH,,CN,Ritz-Carlton,Luxury hotel,,
Conrad Jiuzhaigou,JZH,Jiuzhaigou Valley,CN,,Luxury hotel,,
Banyan Tree Jiuzhaigou,JZH,Jiuzhaigou Valley,CN,,Luxury hotel,,
Phulay Bay,KBV,,TH,Ritz-Carlton,Luxury hotel,,
Banyan Tree Krabi,KBV,Krabi,TH,,Luxury hotel,,
Galle Radisson Collection Resort,KCT,Galle,LK,Radisson Collection Hotel,Luxury hotel,5.99988937,80.26713
Iceland's Ring Road,KEF,,IS,,Adventure Tourism,,
The Reykjavik EDITION,KEF,,IS,EDITION,Luxury hotel,,
Iceland Parliament Hotel,KEF,,IS,Curio Collection,Luxury hotel,,
One&Only,KGL,,RW,One&Only,Luxury hotel,,
Kenting,KHH,,TW,Exclusive coastal destination famed for its luxury seaside resorts,Luxury hotel,,
Shangri-La Nanchang,KHN,Nanchang,CN,,Luxury hotel,28.6833,115.8667
Aman Kyoto,KIX,,JP,Aman resorts,Luxury hotel,,
Four Seasons KYOTO,KIX,Osaka,JP,Four Seasons,Luxury hotel,,
HOSHINOYA Kyoto,KIX,Osaka,JP,HOSHINOYA,Luxury hotel,,
HOTEL THE MITSUI KYOTO,KIX,Osaka,JP,Luxury Collection Hotels,Luxury hotel,,
Shisui,KIX,Osaka,JP,Luxury Collection Hotels,Luxury hotel,,
Suiran,KIX,Osaka,JP,Luxury Collection Hotels,Luxury hotel,,
The Ritz-Carlton Kyoto,KIX,Osaka,JP,Ritz-Carlton,Luxury hotel,,
Rosewood Kyoto,KIX,Osaka,JP,Rosewood Hotel,Luxury hotel,,
Six Senses JAPAN,KIX,Osaka,JP,Six Senses Resorts,Luxury hotel,,
The St. Regis Osaka,KIX,Osaka,JP,St. Regis,Luxury hotel,,
Waldorf Astoria Osaka,KIX,Osaka,JP,,Luxury hotel,,
Conrad Osaka,KIX,Osaka,JP,,Luxury hotel,,
Park Hyatt Kyoto,KIX,Osaka,JP,,Luxury hotel,,
Rosewood Matauri Bay,KKE,,NZ,Rosewood Hotel,Luxury hotel,,
Boracay Island,KLO,,PH,,Adventure tourism,,
The Romanos,KLX,,GR,Luxury Collection Hotels,Luxury hotel,,
Mandarin Oriental Costa Navarino,KLX,,GR,Mandarin Oriental,Luxury hotel,,
Shangri-La Kunming,KMG,Kunming,CN,,Luxury hotel,25.0417,102.7061
JEN Kunming by Shangri-La (Now Open),KMG,Kunming,CN,,Luxury hotel,25.0417,102.7061
JW Marriott Hotel Medan,KNO,,ID,JW Marriott,Luxury hotel,,
Four Seasons HAWAII,KOA,,US,Four Seasons,Luxury hotel,,
Rosewood Kailua-Kona,KOA,,US,Rosewood Hotel,Luxury hotel,,
Fairmont Orchid,KOA,Kailua-Kona,US,,Luxury hotel,19.9817,-155.996
Six Senses CAMBODIA,KOS,,KH,Six Senses Resorts,Luxury hotel,,
Zakopane Ski Resort,KRK,,PL,,Ski Resort,,
Annapurna Circuit,KTM,,NP,,Adventure Tourism,,
The Himalayas,KTM,,NP,,Adventure Tourism,,
Four Seasons KUALA LUMPUR,KUL,,MY,Four Seasons,Luxury hotel,,
JW Marriott Hotel Kuala Lumpur,KUL,,MY,JW Marriott,Luxury hotel,,
Mandarin Oriental Kuala Lumpur,KUL,,MY,Mandarin Oriental,Luxury hotel,,
One&Only,KUL,,MY,One&Only,Luxury hotel,,
The Ritz-Carlton Kuala Lumpur,KUL,,MY,Ritz-Carlton,Luxury hotel,,
The St. Regis Kuala Lumpur,KUL,,MY,St. Regis,Luxury hotel,,
Shangri-La Hotel Kuala Lumpur,KUL,Kuala Lumpur,MY,,Luxury hotel,3.1408,101.6869
Waldorf Astoria Kuala Lumpur,KUL,Kuala Lumpur,MY,,Luxury hotel,,
Alila Bangsar Kuala Lumpur,KUL,,MY,,Luxury hotel,,
Yakushima,KUM,,JP,Remote island paradise famous for its ancient forests,Adventure Tourism,,
Four Seasons KUWAIT AT BURJ ALSHAYA,KWI,,KW,Four Seasons,Luxury hotel,,
JW Marriott Hotel Kuwait City,KWI,,KW,JW Marriott,Luxury hotel,,
Sheraton Kuwait,KWI,,KW,Luxury Collection Hotels,Luxury hotel,,
The St. Regis Kuwait,KWI,,KW,St. Regis,Luxury hotel,,
Waldorf Astoria Kuwait,KWI,Kuwait City,KW,,Luxury hotel,,
Yangshuo,KWL,,CN,A picturesque riverside town in Guangxi Province,Elite residential,,
Shangri-La Guilin,KWL,Guilin,CN,,Luxury hotel,25.2767,110.2967
Banyan Tree Yangshuo,KWL,Guilin,CN,,Luxury hotel,,
Las Vegas GP,LAS,,US,Formula One race held at the Las Vegas Strip Circuit,Elite Destination,36.11,-115.16222
Amangiri,LAS,,US,Aman resorts,Luxury hotel,,
Four Seasons LAS VEGAS,LAS,,US,Four Seasons,Luxury hotel,,
JW Marriott Las Vegas Resort & Spa,LAS,,US,JW Marriott,Luxury hotel,,
Waldorf Astoria Las Vegas,LAS,Las Vegas,US,,Luxury hotel,,
Conrad Las Vegas at Resorts World,LAS,Las Vegas,US,,Luxury hotel,,
Beverly Hills,LAX,Los Angeles,US,,Elite residential,,
Brentwood,LAX,Los Angeles,US,,Elite residential,,
Santa Monica,LAX,Los Angeles,US,,Elite residential,,
Rodeo Drive,LAX,Los Angeles,US,,Elite residential,,
Bulgari Hotel,LAX,Los Angeles,US,Bulgari Hotel,Luxury hotel,,
Four Seasons LOS ANGELES AREA,LAX,Los Angeles,US,Four Seasons,Luxury hotel,,
The Beverly Hills Hotel Dorchester Collection,LAX,,US,MICHELIN Three Key Hotel,Luxury hotel,,
Hotel Bel-Air Dorchester Collection,LAX,,US,MICHELIN Three Key Hotel,Luxury hotel,,
Montage Laguna Beach,LAX,Los Angeles,US,Montage,Luxury hotel,,
The Ritz-Carlton Laguna Niguel,LAX,Los Angeles,US,Ritz-Carlton,Luxury hotel,,
The Ritz-Carlton Los Angeles,LAX,Los Angeles,US,Ritz-Carlton,Luxury hotel,,
The Peninsula Beverly Hills,LAX,,US,,Luxury hotel,,
Waldorf Astoria Beverly Hills,LAX,Los Angeles,US,,Luxury hotel,,
Conrad Los Angeles,LAX,Los Angeles,US,,Luxury hotel,,
Andaz West Hollywood,LAX,Los Angeles,US,,Luxury hotel,,
Grantley Hall,LBA,,GB,,Luxury hotel,,
Komodo National Park,LBJ,,ID,Encounter Komodo dragons and other unique wildlife with luxurious liveaboard diving experiences and private island stays.,Adventure Tourism,,
Amanwana,LBJ,,ID,Aman resorts,Luxury hotel,,
TA'AKTANA,LBJ,,ID,Luxury Collection Hotels,Luxury hotel,,
Alila Purnama,LBJ,,ID,,Luxury hotel,,
Parklane,LCA,,CY,Luxury Collection Hotels,Luxury hotel,,
Holland Park,LCY,London,GB,,Elite residential,,
Knightsbridge,LCY,London,GB,,Elite residential,,
Mayfair,LCY,London,GB,,Elite residential,,
Bulgari Hotel London,LCY,London,GB,Bulgari Hotel,Luxury hotel,,
COMO Metropolitan London,LCY,London,GB,COMO,Luxury hotel,,
COMO The Halkin,LCY,London,GB,COMO,Luxury hotel,,
EDITION London,LCY,London,GB,EDITION,Luxury hotel,,
Four Seasons LONDON AT TEN TRINITY SQUARE,LCY,London,GB,Four Seasons,Luxury hotel,,
Le Manoir aux Quat'Saisons,LCY,London,GB,,Luxury hotel,,
Nobu Hotel London Portman Square,LCY,,GB,,Luxury hotel,,
University of Cambridge,LCY,London,GB,,University,,
Capella Lord Howe Island,LDH,,AU,,Luxury hotel,,
Dartmouth,LEB,,,,University,,
Krestovsky Island,LED,,RU,Exclusive island known for its historic mansions and yacht clubs,Elite residential,,
Hotel Astoria,LED,Saint Petersburg,RU,Rocco Forte Hotel,Luxury hotel,59.9343,30.3351
Grand Hotel Europe,LED,,RU,,Luxury hotel,,
Clinton Foundation,LGA,,US,,Elite Destination,,
Broadway,LGA,,US,,Elite Destination,,
Upper East Side,LGA,New York,US,,Elite residential,,
Midtown,LGA,New York,US,,Elite residential,,
Grayson Hotel,LGA,,US,Hyatt Unbound,Luxury hotel,,
EDITION New York,LGA,New York,US,,Luxury hotel,,
Waldorf Astoria New York,LGA,New York City,US,,Luxury hotel,,
Conrad New York Midtown,LGA,New York City,US,,Luxury hotel,,
The Chatwal,LGA,New York City,US,,Luxury hotel,,
Andaz 5th Avenue,LGA,New York City,US,,Luxury hotel,,
Park Hyatt New York,LGA,New York City,US,,Luxury hotel,,
The Pierre,LGA,New York City,US,,Luxury hotel,,
JW Marriott Los Angeles L.A. LIVE,LGB,Los Angeles,US,JW Marriott,Luxury hotel,,
Belgian GP,LGG,,BE,Formula One race held at the Circuit de Spa-Francorchamps,Elite Destination,50.43722,5.97139
Langkawi,LGK,,MY,Exclusive Malaysian archipelago known for its luxury beach resorts,Elite residential,,
Four Seasons LANGKAWI,LGK,,MY,Four Seasons,Luxury hotel,,
The Ritz-Carlton Langkawi,LGK,,MY,Ritz-Carlton,Luxury hotel,,
The St. Regis Langkawi,LGK,,MY,St. Regis,Luxury hotel,,
The Datai Langkawi,LGK,,MY,,Luxury hotel,,
Knightsbridge,LGW,London,GB,,Elite residential,,
Kensington,LGW,London,GB,,Elite residential,,
The May Fair,LGW,London,GB,Radisson Collection Hotel,Luxury hotel,51.5081177,0.14395
Rosewood Rosewood,LGW,London,GB,Rosewood Hotel,Luxury hotel,,
The Cadogan,LGW,London,GB,,Luxury hotel,,
University of Oxford,LGW,London,GB,,University,,
Christie's Auction House,LHR,London,GB,Leading auction house specializing,Elite Destination,,
Sotheby's Auction House,LHR,London,GB,Premier auction house specializing,Elite Destination,,
Palace of Westminster,LHR,London,GB,,Elite Destination,,
The Savoy,LHR,London,GB,Fairmount,Luxury hotel,,
Four Seasons HAMPSHIRE,LHR,London,GB,Four Seasons,Luxury hotel,,
Four Seasons LONDON AT PARK LANE,LHR,London,GB,Four Seasons,Luxury hotel,,
JW Marriott Grosvenor House London,LHR,London,GB,JW Marriott,Luxury hotel,,
Mandarin Oriental Mandarin Oriental,LHR,London,GB,Mandarin Oriental,Luxury hotel,,
The Lanesborough,LHR,London,GB,Oetker Collection Hotels,Luxury hotel,,
Brown's Hotel,LHR,London,GB,Rocco Forte Hotel,Luxury hotel,51.5107,-0.1467
The Peninsula London,LHR,London,GB,The Peninsula,Luxury hotel,,
Great Scotland Yard Hotel,LHR,London,GB,World of Hyatt,Luxury hotel,,
Waldorf Astoria London Admiralty Arch,LHR,London,GB,,Luxury hotel,,
Conrad London St. James,LHR,London,GB,,Luxury hotel,,
Belmond Cadogan,LHR,London,GB,,Luxury hotel,,
Belmond Le Manoir aux Quat'Saisons,LHR,London,GB,,Luxury hotel,,
Andaz London Liverpool Street,LHR,London,GB,,Luxury hotel,,
Raffles London at The OWO,LHR,London,GB,,Luxury hotel,,
St. James' Court A Taj Hotel,LHR,London,GB,,Luxury hotel,,
Shangri-La Hotel At The Shard,LHR,London,GB,,Luxury hotel,51.5074,-0.1278
100 Queen's Gate Hotel,LHR,London,GB,,Luxury hotel,,
Treehouse London,LHR,London,GB,,Luxury hotel,,
Eton College,LHR,Windsor,GB,,School,,
Harrow School,LHR,London,GB,,School,,
Imperial College London,LHR,London,GB,,University,,
Domaine des Etangs,LIG,,FR,Auberge Resorts,Luxury hotel,,
Paradise Cove,LIH,Lihue,US,,Elite residential,,
JW Marriott Hotel Lima,LIM,,PE,JW Marriott,Luxury hotel,,
Hotel Paracas,LIM,,PE,Luxury Collection Hotels,Luxury hotel,,
Miraflores Park,LIM,,PE,,Luxury hotel,,
Belmond Miraflores Park,LIM,Lima,PE,,Luxury hotel,,
Excelsior Hotel Gallia,LIN,Milan,IT,Luxury Collection Hotels,Luxury hotel,,
JW Marriott Guanacaste Resort & Spa,LIR,,CR,JW Marriott,Luxury hotel,,
Waldorf Astoria Costa Rica Cacique,LIR,Liberia,CR,,Luxury hotel,,
Andaz Costa Rica Resort at Peninsula Papagayo,LIR,Liberia,CR,,Luxury hotel,,
Nayara Gardens,LIR,,CR,,Luxury hotel,,
El Mangroove Hotel,LIR,,CR,,Luxury hotel,,
Comporta,LIS,,PT,,Elite residential,,
Príncipe Real,LIS,,PT,,Elite residential,,
Four Seasons LISBON,LIS,,PT,Four Seasons,Luxury hotel,,
Penha Longa Resort,LIS,,PT,Ritz-Carlton,Luxury hotel,,
Olissippo Lapa Palace,LIS,,PT,,Luxury hotel,,
Bairro Alto Hotel,LIS,,PT,,Luxury hotel,,
Amandayan,LJG,,CN,Aman resorts,Luxury hotel,,
Rosewood Lijiang,LJG,,CN,Rosewood Hotel,Luxury hotel,,
Mauna Lani,LNY,,US,Auberge Resorts,Luxury hotel,,
